"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
9183,42260,22190.5859375,0.525096685695693,42148,21492.4140625,0.50992725781769
9184,239796,150106.546875,0.625976024933694,239653,159788.53125,0.666749555607483
9185,33423,17386.78125,0.52020408850193,33251,16886.62890625,0.507853264751436
9186,44360,23667.232421875,0.533526429708634,44328,23215.423828125,0.523719180385422
9187,85876,45244.47265625,0.526858175232312,85877,44141.53125,0.51400877126588
9188,52404,30447.1484375,0.58100809933402,52237,31266.98828125,0.598560183035971
9189,69413,37917.95703125,0.546265930463314,68970,36103.2734375,0.523463439720168
9190,50668,27855.435546875,0.549763865691857,50103,26892.8984375,0.536752259096262
9261,38270,21214.044921875,0.554325710004573,38252,21198.203125,0.554172412553592
9262,40243,22960.53125,0.570547206967671,40152,22759.048828125,0.566822295978407
9263,30617,16576.091796875,0.541401567654408,30398,16152.4375,0.531365139153892
9271,51264,26780.83203125,0.52241011296914,50848,25958.4453125,0.510510645698946
9272,26597,13731.0400390625,0.516262737867523,26221,12418.0576171875,0.473592068082358
9273,40518,20981.33984375,0.517827628307172,40078,20199.330078125,0.504000451073532
9274,52040,27586.033203125,0.53009287477181,52040,26477.21484375,0.508785834814566
9275,62335,32014.08984375,0.513581292111174,61995,29394.83203125,0.47414843182918
9276,29387,15161.2578125,0.515917167880355,29111,13776.01953125,0.473223851164508
9277,40058,21121.439453125,0.527271442736158,40058,20537.88671875,0.512703747534825
9278,27201,13839.5673828125,0.508788918893147,27164,13148.908203125,0.484056405651782
9279,50891,27158.478515625,0.53365975350504,50891,23862.720703125,0.468898640292488
9361,28023,15529.9462890625,0.554185714914981,27690,15388.88671875,0.555756111186349
9362,126329,71401.921875,0.565206103705404,126179,73371.515625,0.581487534573899
9363,28172,15065.244140625,0.534759482487044,28137,15359.5859375,0.545885699879163
9371,29242,15301.5810546875,0.523274093929536,28953,14692.61328125,0.507464279392464
9372,54626,28441.85546875,0.520665168028961,54353,26831.013671875,0.493643656686383
9373,51792,27194.552734375,0.52507245779995,51550,26596.50390625,0.515936060257032
9374,32327,17121.515625,0.529635154050793,31822,16113.544921875,0.506364933752593
9375,49836,26045.333984375,0.522620876161309,49288,25292.01953125,0.513147612628835
9376,56653,29968.240234375,0.528978875511888,56149,27284.974609375,0.485938745291546
9377,26824,13936.1015625,0.51953853125932,26824,13076.958984375,0.487509654949858
9461,54859,30802.75,0.561489454784083,54823,30395.7578125,0.554434412792076
9462,48386,26989.908203125,0.557804079757058,48345,27677.33203125,0.572496267064846
9463,34314,21059.048828125,0.613715941834965,34280,21190.453125,0.618157909130688
9464,24777,13586.8427734375,0.548365127878173,24534,13122.7587890625,0.534880524539924
9471,40773,21226.10546875,0.520592192596817,40773,19877.703125,0.487521230348515
9472,24434,12820.5380859375,0.524700748380842,24435,12050.05078125,0.493147156998158
9473,28972,14956.2294921875,0.516230480884561,28135,14029.0625,0.498633819086547
9474,32728,17377.69140625,0.530973215786177,32443,17550.369140625,0.540960118997164
